URL,Title,Count_Review
https://www.tripadvisor.co.id/Hotel_Review-g608487-d11918259-Reviews-Fame_Hotel_Sunset_Road_Kuta_Bali-Legian_Kuta_District_Bali.html,      Fame Hotel Sunset Road Kuta,479.0
https://www.tripadvisor.co.id/Hotel_Review-g297700-d4020063-Reviews-Aleesha_Villas-Sanur_Denpasar_Bali.html,      Aleesha Villas,297.0
https://www.tripadvisor.co.id/Hotel_Review-g2538504-d5212545-Reviews-The_Palms_Ceningan_Hotel-Nusa_Ceningan_Bali.html,      The Palms Ceningan Hotel,251.0
https://www.tripadvisor.co.id/Hotel_Review-g297701-d9699755-Reviews-Anusara_Luxury_villas-Ubud_Gianyar_Regency_Bali.html,      Anusara Luxury villas,290.0
https://www.tripadvisor.co.id/Hotel_Review-g469404-d758191-Reviews-Anantara_Seminyak_Bali_Resort-Seminyak_Kuta_District_Bali.html,      Anantara Seminyak Bali Resort,1.965
https://www.tripadvisor.co.id/Hotel_Review-g2646686-d7621681-Reviews-The_Royal_Purnama-Sukawati_Gianyar_Regency_Bali.html,      The Royal Purnama,594.0
https://www.tripadvisor.co.id/Hotel_Review-g297696-d15146724-Reviews-The_Jimbaran_Villa-Jimbaran_South_Kuta_Bali.html,      The Jimbaran Villa,293.0
https://www.tripadvisor.co.id/Hotel_Review-g469404-d1234075-Reviews-The_Seiryu_Villas-Seminyak_Kuta_District_Bali.html,      The Seiryu Villas,377.0
https://www.tripadvisor.co.id/Hotel_Review-g297698-d2038714-Reviews-Courtyard_by_Marriott_Bali_Nusa_Dua_Resort-Nusa_Dua_Nusa_Dua_Peninsula_Bali.html,      Courtyard by Marriott Bali Nusa Dua Resort,2.358
https://www.tripadvisor.co.id/Hotel_Review-g311298-d2408943-Reviews-The_Apartments_Canggu-Canggu_North_Kuta_Bali.html,      The Apartments Canggu,201.0
https://www.tripadvisor.co.id/Hotel_Review-g297696-d1511923-Reviews-Flower_Bud_Bungalows_Balangan-Jimbaran_South_Kuta_Bali.html,      Flower Bud Bungalows Balangan,444.0
